,Ranking,Move,Country,Player,Age,Points,Tourn Played,Points Dropping,Next Best,Turned Pro,index,Aces,Double Faults,1st Serve,1st Serve Points Won,2nd Serve Points Won,Break Points Faced,Break Points Saved,Service Games Played,Service Games Won,Total Service Points Won,1st Serve Return Points Won,2nd Serve Return Points Won,Break Points Opportunities,Break Points Converted,Return Games Played,Return Games Won,Return Points Won,Total Points Won
0,1,,,Novak Djokovic,24,13630,19,0,0,2003,0,343,143,65%,74%,56%,351,65%,899,86%,68%,36%,58%,692,48%,860,39%,45%,56%
1,2,,,Rafael Nadal,25,9595,20,0,0,2001,0,267,121,68%,71%,57%,436,64%,944,83%,67%,34%,57%,706,46%,951,34%,43%,54%
2,3,,,Roger Federer,30,8170,19,0,0,1998,0,504,98,64%,79%,57%,267,65%,904,90%,71%,33%,51%,593,41%,877,28%,40%,55%
3,4,,,Andy Murray,24,7380,19,0,0,2005,0,494,149,59%,75%,50%,407,61%,813,80%,65%,37%,56%,637,46%,809,36%,44%,54%
4,5,,,David Ferrer,29,4925,23,0,0,2000,0,265,200,61%,72%,55%,425,65%,894,83%,66%,33%,56%,627,46%,877,33%,42%,54%
5,6,,,Jo-Wilfried Tsonga,26,4335,25,0,0,2004,0,825,198,62%,78%,53%,396,66%,999,86%,68%,28%,49%,475,44%,988,21%,36%,52%
6,7,,,Tomas Berdych,26,3700,24,0,0,2002,0,482,148,58%,78%,53%,317,60%,831,85%,67%,31%,53%,508,45%,811,28%,40%,53%
7,8,,,Mardy Fish,30,2965,24,0,0,2000,0,486,115,59%,76%,55%,341,63%,799,84%,67%,32%,50%,500,40%,790,25%,39%,53%
8,9,,,Janko Tipsarevic,27,2595,28,0,0,2002,0,444,175,56%,75%,55%,347,62%,837,84%,67%,31%,54%,542,43%,830,28%,40%,53%
9,10,,,Nicolas Almagro,26,2380,27,0,0,2003,0,546,182,56%,76%,53%,374,59%,875,82%,66%,30%,50%,499,39%,867,22%,37%,51%
10,11,,,Juan Martin del Potro,23,2315,22,0,0,2005,0,475,124,62%,76%,55%,249,67%,701,88%,68%,30%,51%,402,45%,702,26%,39%,53%
11,12,,,Gilles Simon,26,2165,28,0,0,2002,0,297,157,56%,70%,51%,446,59%,820,78%,62%,32%,54%,520,44%,806,28%,41%,51%
12,13,,,Robin Soderling,27,2120,22,0,0,2001,0,367,124,63%,75%,53%,232,61%,581,85%,67%,31%,52%,338,46%,561,27%,40%,53%
13,14,,,Andy Roddick,29,1940,20,0,0,2000,0,567,95,65%,77%,56%,213,64%,573,87%,69%,28%,49%,306,40%,567,22%,36%,52%
14,15,,,Alexandr Dolgopolov,23,1925,30,0,0,2006,0,559,206,51%,76%,51%,411,58%,805,79%,63%,30%,50%,462,43%,816,24%,38%,51%
15,16,,,Gael Monfils,25,1910,23,0,0,2004,0,414,192,63%,72%,52%,344,62%,698,81%,65%,33%,49%,427,41%,697,25%,39%,52%
16,17,,,Stan Wawrinka,26,1820,23,0,0,2002,0,322,124,61%,71%,54%,324,57%,700,80%,64%,32%,50%,449,38%,694,25%,39%,51%
17,18,,,John Isner,26,1800,25,0,0,2007,0,811,150,69%,77%,55%,217,66%,784,91%,70%,24%,42%,292,34%,769,13%,31%,51%
18,19,,,Richard Gasquet,25,1765,21,0,0,2002,0,288,110,64%,72%,53%,255,57%,609,82%,65%,32%,50%,364,42%,588,26%,39%,52%
19,20,,,Feliciano Lopez,30,1755,28,0,0,1997,0,734,219,58%,78%,53%,337,66%,783,86%,67%,26%,44%,346,34%,782,15%,33%,50%
20,21,,,Marin Cilic,23,1665,25,0,0,2005,0,436,162,54%,76%,54%,326,62%,727,83%,66%,31%,50%,410,43%,736,24%,38%,52%
21,22,,,Viktor Troicki,25,1655,26,0,0,2006,0,466,143,59%,73%,47%,422,61%,698,76%,62%,34%,50%,463,42%,705,28%,40%,51%
22,23,,,Florian Mayer,28,1630,27,0,0,2001,0,252,135,61%,70%,51%,415,60%,751,78%,63%,31%,53%,465,46%,765,28%,40%,51%
23,24,,,Fernando Verdasco,28,1550,25,0,0,2001,0,317,227,69%,71%,50%,377,63%,721,81%,64%,30%,52%,403,42%,723,24%,38%,51%
24,25,,,Kei Nishikori,21,1430,25,0,0,2007,0,137,158,61%,68%,52%,377,60%,640,77%,62%,29%,52%,403,39%,631,25%,39%,50%
25,26,,,Juan Monaco,27,1335,26,0,0,2002,0,102,96,66%,65%,52%,387,58%,609,74%,61%,34%,51%,432,42%,624,29%,41%,51%
26,27,,,Marcel Granollers,25,1335,25,0,0,2003,0,142,92,62%,69%,50%,311,54%,571,75%,62%,32%,49%,348,42%,578,25%,38%,50%
